"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-04-23","8.28",,"0.00","0.0","0.0","50","61","39","  130","  130","18.1","21.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-04-24","12.30",,"0.00","0.0","0.0","51","62","41","  140","  140","23.0","28.0","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-04-25","11.63",,"0.34","0.0","0.0","54","57","51","  100","  100","25.1","34.0","    1","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-04-26","12.53",,"0.04","0.0","0.0","58","68","51","  310","  320","23.0","29.1","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-04-27","8.50",,"0.12","0.0","0.0","54","56","48","   90","  100","21.9","28.0","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-04-28","9.62",,"0.01","0.0","0.0","52","60","45","  300","  300","19.9","23.0","    1","    1",,,,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-04-29","14.76",,"0.13","0.0","0.0","54","59","47","  320","  320","25.9","32.0","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-04-30","16.11",,"0.00","0.0","0.0","49","53","46","  330","  320","32.0","40.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-05-01","10.51",,"0.00","0.0","0.0","58","76","47","  320","  320","21.9","28.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-05-02","11.41",,"0.00","0.0","0.0","67","83","53","  230","  250","21.0","28.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-05-03","11.41",,"0.00","0.0","0.0","70","84","59","  320","  320","21.9","27.1",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-05-04","12.53",,"0.00","0.0","0.0","68","78","58","  190","  280","28.0","35.1","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-05-05","14.32",,"0.00","0.0","0.0","66","76","56","  330","  330","25.9","34.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-05-06","7.38",,"0.00","0.0","0.0","60","66","56","   30","   50","18.1","21.9",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-05-07","8.50",,"0.00","0.0","0.0","61","73","52","  140","  140","16.1","19.9",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-05-08","6.71",,"0.00","0.0","0.0","58","67","50","  140",,"15.0",,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-05-09","6.49",,"0.00","0.0","0.0","56","63","49","  150",,"14.1",,"    1","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-05-10","8.28",,"0.01","0.0","0.0","56","62","53","  180","  170","23.0","29.1","    1","    1","    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-05-11","11.41",,"0.00","0.0","0.0","65","74","58","  330","  330","18.1","28.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-05-12","8.05",,"0.25","0.0","0.0","60","65","52","  120","  130","16.1","18.1","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-05-13","8.05",,"0.16","0.0","0.0","53","54","51","  100","  100","17.0","21.9","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-05-14","7.16",,"0.12","0.0","0.0","55","64","51","  170","  170","15.0","18.1","    1","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-05-15","10.96",,"0.44","0.0","0.0","63","76","56","  290","  290","44.1","55.0","    1","    1","    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-05-16","10.07",,"0.33","0.0","0.0","62","65","56","   90","  100","21.9","29.1","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-05-17","5.37",,"0.72","0.0","0.0","59","67","55","   30","   30","14.1","16.1","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-05-18","12.08",,"0.00","0.0","0.0","61","64","55","   60","   60","23.9","33.1","    1","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-05-19","8.95",,"0.75","0.0","0.0","54","57","50","   80","   90","21.0","25.9","    1","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-05-20","12.97",,"0.00","0.0","0.0","67","83","57","  340","  320","23.0","32.0","    1","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-05-21","9.62",,"0.00","0.0","0.0","67","73","57","  360","  360","19.9","23.9",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-05-22","5.59",,"0.17","0.0","0.0","60","65","56","  170","  170","14.1","16.1","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-05-23","8.72",,"0.20","0.0","0.0","66","82","57","  340","  310","18.1","23.9","    1",,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-05-24","11.41",,"0.00","0.0","0.0","74","82","61","  190","  190","23.0","29.1",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-05-25","12.75",,"0.00","0.0","0.0","69","82","60","  230","  240","21.0","25.1",,,,,,,,
